Date,Close,Volume,Market_Cap,Variance,Ethereum,Litecoin,Market_Cap_stndrd,Close_stndrd,Litecoin_stndrd,Ethereum_stndrd,Volume_stndrd,Volume_divided,Market_Cap_divided
2017-08-08,3419.94,1752760064,56417337745,38049.992,296.77,48.63,-1.0190112907187163,-0.992580249813255,-0.6976643064360417,-0.5286697784547462,-0.8253045356486356,1752.760064,5641.7337745
2017-08-09,3342.47,1468960000,55145196472,38049.992,296.03,48.01,-1.0406599051945744,-1.0148260460490675,-0.7069007526695633,-0.5315100978561101,-0.897856112279232,1468.96,5514.5196472
2017-08-10,3381.28,1515110016,55791120000,38049.992,295.89,46.5,-1.029667926759992,-1.0036816114045355,-0.7293959684963659,-0.5320474555806924,-0.8860581712388549,1515.110016,5579.112
2017-08-11,3650.62,2021190016,60241844923,38049.992,308.86,47.1,-0.9539278890447624,-0.9263396369866486,-0.7204574721413449,-0.48226510066759626,-0.756682224723169,2021.190016,6024.1844923
2017-08-12,3884.71,2219589888,64111163866,38049.992,310.6,46.43,-0.8880819049084222,-0.8591198300827978,-0.7304387930711183,-0.4755865118049295,-0.7059626325073317,2219.589888,6411.1163866
2017-08-13,4073.26,3159089920,67230528989,38049.992,298.06,45.81,-0.8349982306416377,-0.8049770021460168,-0.7396752393046399,-0.5237184108496655,-0.4657857713558987,3159.08992,6723.0528989
2017-08-14,4325.13,2463089920,71394704654,38049.992,300.1,45.8,-0.7641345337436163,-0.732651602663455,-0.7398242142438902,-0.5158883411486079,-0.643713487872887,2463.08992,7139.4704654
2017-08-15,4181.93,3258050048,69038855081,38049.992,289.82,43.31,-0.8042251119297326,-0.773772010833951,-0.7769189741172269,-0.5553457512107999,-0.44048728054947794,3258.050048,6903.8855081
2017-08-16,4376.63,2272039936,72260183303,38049.992,302.27,44.15,-0.7494062846041928,-0.7178631877138701,-0.7644050792201976,-0.5075592964175812,-0.6925541306799662,2272.039936,7226.0183303
2017-08-17,4331.69,2553359872,71527949443,38049.992,301.46,43.91,-0.76186704574586,-0.7307678744679352,-0.767980477762206,-0.5106682946812364,-0.6206365820834356,2553.359872,7152.7949443
2017-08-18,4160.62,2941710080,68710871037,38049.992,295.59,47.28,-0.8098065676009604,-0.7798912559325075,-0.7177759232348387,-0.5331989364190833,-0.5213574646720313,2941.71008,6871.0871037
2017-08-19,4193.7,2975820032,69265141208,38049.992,297.47,45.48,-0.800374296592922,-0.7703922119221722,-0.7445914122999014,-0.525982989831834,-0.5126374849739507,2975.820032,6926.5141207999995
2017-08-20,4087.66,2109769984,67520478838,38049.992,301.43,46.23,-0.8300640203997739,-0.8008419890338999,-0.7334182918561253,-0.5107834427650754,-0.7340373519711749,2109.769984,6752.0478838
2017-08-21,4001.74,2800890112,66106992038,38049.992,321.59,47.94,-0.8541179768662223,-0.8255142339361976,-0.7079435772443158,-0.43340393042521297,-0.5573571418936338,2800.890112,6610.6992038
2017-08-22,4100.52,3764239872,67743202431,38049.992,314.79,46.73,-0.8262738303463025,-0.7971491926018287,-0.7259695448936079,-0.4595041627620712,-0.31108325826721334,3764.239872,6774.3202431
2017-08-23,4151.52,2369819904,68593954170,38049.992,317.52,53.25,-0.8117961958231776,-0.7825043544964145,-0.628837884502381,-0.44902568713271496,-0.6675573398360809,2369.819904,6859.395417
2017-08-24,4334.68,2037750016,71625870868,38049.992,325.61,50.19,-0.7602006717166985,-0.729909284939794,-0.6744242159129875,-0.4179740871907759,-0.7524487721577648,2037.750016,7162.5870868
2017-08-25,4371.6,1727970048,72241507489,38049.992,331.92,51.18,-0.74972409954023,-0.7193075707662275,-0.659675696927203,-0.39375460688995584,-0.8316419364234914,1727.970048,7224.1507489
2017-08-26,4352.4,1511609984,71929882019,38049.992,333.88,51.75,-0.7550271738167047,-0.7248209215823836,-0.6511841253899332,-0.3862315987458026,-0.8869529308674416,1511.609984,7192.9882019
2017-08-27,4382.88,1537459968,72441993792,38049.992,347.89,61.16,-0.7463123317016614,-0.716068477161736,-0.5109987075553557,-0.3324574435929517,-0.8803445564060614,1537.459968,7244.1993792
2017-08-28,4382.66,1959330048,72445588933,38049.992,347.75,62.36,-0.746251151529972,-0.7161316509731712,-0.4931217148453139,-0.332994801317534,-0.7724963092778443,1959.330048,7244.5588933
2017-08-29,4579.02,2486080000,75699786263,38049.992,370.67,63.17,-0.6908729754415551,-0.6597461527304433,-0.4810547447660357,-0.2450216652644759,-0.6378362286244058,2486.08,7569.9786263
